Название компании;Рынок;Что делают;Подробное описание проекта; Выручка (млн);Стадия;Международный трекшн ;Полезные ссылки;;;;;;;;;;;;;
Unspot ;Business Software;Система для бронирования офисного пространства ;"Система UnSpot – это программное обеспечение для бронирования, позволяющее сотрудникам временно резервировать для себя любое незакрепленное рабочее место в офисе компании. 

ПО помогает руководителям управлять своими подразделениями более гибко, отслеживать посещаемость работников и снижать расходы на аренду офиса. 

UnSpot позволяет: оптимизировать расходы на аренду офиса; с помощью предоставляемой аналитики понять, как сотрудники используют офис и сделать его более привлекательным для них; вырастить HR-бренд компании.

Преимущества: 
- компания демонстрирует устойчивый рост финансовых показателей;

- компания обладает существенным потенциалом в условиях развития гибридного формата работы, а также обширного распространения офисов типа «коворкинг». 
";До 100 млн.руб;Seed;Да;"Сайт: https://unspot.com/


Ссылка на Сбис: https://sbis.ru/contragents/9731082118/773101001;";;;;;;;;;;;;;
Реокат;IndustrialTech;Производят катализаторы для нефтехимии;"Компания ООО «РеоКат» работает в области сервиса катализаторов нефтепереработки и систем аминовой очистки газов. Компания специализируется на релизации проектов связанных с:
1. Мобильными комплексами высокоэффективной регенерации наноструктурированных катализаторов гидропроцессов нефтепереработки, включающий блок очистки отходящих газов.
2. Сервисе катализаторных систем: компания  оказывает услуги по выгрузке и загрузке катализаторов и адсорбентов, сульфидированию катализаторов гидроочистки.
3. Компания занимается очисткой аминовых растворов от механических примесей и термостабильных солей.Цеолит представляет собой гранулы, длиной 3-6 мм и диаметром 1-2 мм. При эксплуатации цеолита на установках очистки или осушки в течение нескольких лет на нем накапливаются сера и углерод, которые не могут быть удалены при регенерации в процессе и снижают его емкость. Цеолит выгружают из адсорберов и заменяют на новый. Отработанный цеолит направляется на утилизацию. Срок службы цеолита — от 6 месяцев до 4 лет.";100-500 млн.руб.;Раунд А;Нет;"Сайт: https://reocat.ru/



Ссылка на Сбис: https://sbis.ru/contragents/9731049544/501801001
";;;;;;;;;;;;;
Workface;E-commerce;Онлайн конструктор для интернет магазина ;"Компания специализируется на разработке приложения-конструктора для интернет магазина. Решение помогает создать, настроить и запустить собственный B2B интернет-магазин. Проект также включает в себя CRM-систему и бизнес-аналитику. 
Компания действует на рынке США. ";100-500 млн.руб.;Раунд B;Да;;;;;;;;;;;;;;
Аллока ;Advertising & Marketing;Программа отслеживания рекламы с сайта. ;"Программа отслеживания рекламы с сайта. 
Коллтрекинг помогает узнать, какая реклама работает или откуда приходят клиенты.
На сайт добавляют специальный код, который определяет, с какой рекламы человек пришел на сайт. ";До 100 млн.руб;Pre-seed;Нет;"Сайт: 
https://alloka.ru/

Сбис: 
https://sbis.ru/contragents/5262252364/526001001; ";;;;;;;;;;;;;
Инновации Детям;Hardware;Создают итерактивное оборудование для обучения детей ;"Playstand  — производитель интеректавно оборудование для детей, такое как интерактивный скалодром, интерактивная песочница и тд. Платформа компании, предлагает разнообразные игры и развлекательные сервисы. Он предоставляет пользователям доступ к широкому спектру интерактивных игр, включая видеоигры, настольные игры и головоломки. Платформа предназначена для людей всех возрастов, которые заинтересованы в увлекательных и развлекательных мероприятиях.

Преимущества:
Разнообразный выбор игр: Playstand.ru предлагает широкий выбор игр, гарантируя, что у пользователей будет из чего выбирать. Будь то динамичные видеоигры, стратегические настольные игры или стимулирующие ум головоломки, платформа стремится предоставить что-то для всех.
Удобство: как онлайн-платформа Playstand.ru позволяет пользователям получать доступ к играм и развлекательным сервисам, не выходя из собственного дома. Нет необходимости посещать физические магазины или проходить через хлопотные процессы установки. Пользователи могут просто войти на платформу и начать играть.

";100-500 млн.руб.;Раунд А;Да;"Сайт: 
https://playstand.ru/contacts/;

Сбис: 
https://sbis.ru/contragents/7448159903/744801001;";;;;;;;;;;;;;
Doczilla;Business Software;Платформа управления документами с помощью AI. ;"Doczilla.pro — это платформа управления документами с помощью AI, которая предоставляет различные решения, связанные с обработкой документов и совместной работой. 
Несколько возможных решений, которые может предложить Doczilla.pro:

Создание и редактирование документов. Платформа, предоставляет инструменты и функции для создания и редактирования документов. Пользователи могут иметь возможность создавать профессионально выглядящие документы, такие как отчеты, контракты или презентации, используя шаблоны или индивидуальный дизайн. Платформа также может предлагать возможности форматирования текста, стилизации и редактирования.

Хранение и организация документов: Doczilla.pro может предложить облачную систему хранения, в которой пользователи могут безопасно хранить и упорядочивать свои документы. Платформа может предоставлять такие функции, как папки, теги и функции поиска, чтобы помочь пользователям эффективно управлять своими файлами и находить их.

Преимуществами компании являются кейсы с корпорациями ""МТС"" и ""Сбер"". ";До 100 млн.руб;Seed;Да;"Сайт: https://doczilla.pro/;

Сбис: https://sbis.ru/contragents/7709923315/770401001; ";;;;;;;;;;;;;
Ailet;RetailTech;Аналитика полочного пространства ;"Поставщик аналитических услуг на базе технологии распознавания изображений, лидер рынка РФ по количеству клиентов и выручке. Помогают клиентам в сфере FMCG, Фармы и Ритейла повысить операционную эффективность и увеличить продажи за счет оцифровки полочного пространства. 
Компания предлагает решение по оптимизации процесса инвентаризации, мониторинга цен, использование обширных аналитических инструментов BI для повышения эффективности, продаж и прибыльности в торговых точках с помощью решений распознавания изображений";100-500 млн.руб.;Раунд B;Да;"Сайт: https://ailet.ru/

Сбис: https://sbis.ru/contragents/7731324003/773101001; ";;;;;;;;;;;;;
ТРАЙСЭЛ СОЛЮШНС;IndustrialTech;Инновационная технология производства спг ;"Компания специализируется  поиске и разработке энергоэффективных технологических решений для комплексной реализации проектов в нефтяной и газовой отраслях промышленности.
Ключевые решения – технология мало- и среднетоннажного производства сжиженного природного газа (СПГ), основанная на цикле одноконтурного охлаждения смешанным хладагентом (технология TS-SMR) и технология крупнотоннажного производства СПГ, основанная на применении инновационного метода прямого впрыска хладагента в газовый поток на этапе предварительного охлаждения сырьевого газа (технология DRI).

Преимуществом компании является уникальная технология российского производства, также тот факт, что отдельные технологические решения включены в перечень наилучших доступных технологий в газодобывающей промышленности Российской Федерации и утверждены Росстандартом (ИТС 29-2017 «Добыча природного газа»).";До 100 млн.руб;Раунд А;Нет;"Сайт: https://navigator.sk.ru/orn/1121253; 



Сбис: https://sbis.ru/contragents/5190054459/519001001;";;;;;;;;;;;;;
ДЖИ-ТЭК;IndustrialTech;Инновационная технология производства спг ;"Компания специализируется на производстве комплекса локальной малотоннажной переработки ПНГ в коммерчески значимые продукты – в целях поднятия доходности объектов нефтегазовой отрасли, малых, средних и /или удаленных месторождений.Результатом деятельности комплекс переработки ПНГ будут товарные продукты:• Этилен – ацетиленовая газовая смесь (ЭАГС);• Ароматические углеводородов бензол-толуоловой группы (БТГ)А также тепловая и электрическая энергия.Главным блоком комплекса является Блок электрохимической активации и конверсии углеводородов.Разрабатываемый комплекс малотоннажной газохимической переработки G-TECH предназначен для работы на пунктах сепарации и получения товарных продуктов ПНГ:- очищенная стабильная этилен-ацетиленовая газовая смесь;- ароматические углеводороды — опционально;- сера комковая/гранулированная — опционально;- электрическая и тепловая энергия — опционально;- водород и кислород в топливный газ для улучшения энергобаланса комплекса.Основой комплекса G-TECH является блок электрохимической активации и конверсии углеводородов.Ожидаемая кинетика процессов: конверсия до 30 % в однопроходном исполнении и до 80 % в случае применения рецикла.Компания провела эксперименты, предварительные расчёты, НИР по электрохимической активации метана и подтвердили концепцию.Сейчас компания находится на стадии поиска источника инвестиций, для того чтобы совместно с промышленными партнёрами, заинтересованными внедрении комплекса на своих месторождениях, провести НИОКР и подготовиться к серийному производству .Успешное применение комплекса G-TECH будет обеспечиваться минимальными затратами на OPEX, благодаря радикальному сокращению количества расходных материалов и потребности во внешней инфраструктуре.

";До 100 млн.руб;Seed;Нет;"Сайт: 
https://g-tech.energy/;



Сбис: https://sbis.ru/contragents/8601070631/860101001;";;;;;;;;;;;;;
МАКСИНВЕНТ;IndustrialTech;Инновационная технология обеззараживания воды ;"Компания специализируется на  разработке инновационной технологии воздействия электромагнитным полем на обрабатываемые жидкие и твердые вещества в присутствии ферромагнитных элементов и наночастиц металлов и их соединений. При обработке происходит деионизация, обеззараживание и обезгаживание воды и уничтожается патогенная микрофлора и микроорганизмы, удаление тяжелых металлов, а также очистка жидких отходов.

Преимуществом компании является инновационная разработка, которая была протестирована в течение длительного периода времени испытания. Эффективность решения была подтверждена потенциальными партнерами (ПАО «Газпром Нефть», Ассоциацией Нефтепереработчиков, АО «Татнефть», различными предприятиями нефтепереработки).
";До 100 млн.руб;Раунд А;Нет;"Сайт: 
https://navigator.sk.ru/orn/1123424


Сбис:
 https://sbis.ru/contragents/7707838199/772901001";;;;;;;;;;;;;
НПО ТЕХХИММАШ;IndustrialTech;Инновационная технология обеззараживания воды ;"Компания специализируется на разработке высокотехнологичных инновационных фильтрационных установок для очистки воды. Технология компания строится на тонкой (до 2 микрометров) механической фильтрации широкого спектра жидкостей и газов (от воды до взрывоопасных и горячих сред) с уникальной системой автоматической регенерации фильтрующего элемента высоким давлением.

Преимуществом компании является уникальная технология, которая может быть использована во всех отраслях промышленности, а ее внедрение позволяет решать задачи по энергоэффективности, импортозамещению, а также способствует снижению операционных затрат и экологической нагрузки предприятий.
";До 100 млн.руб;Раунд А;Нет;"Сайт: 
https://navigator.sk.ru/orn/1124681

Сбис: 
https://sbis.ru/contragents/7813216591/781301001";;;;;;;;;;;;;
КОСМО СПГ;IndustrialTech;Получение сверхчистого водорода ;"Компания специализируется на производстве установок для получения сверхчистого водорода из природного газа. Компания использует собственные мультиклапанные фильтрационные разработки. Технологическое ядро компании – процесс плазменного пиролиза в бескислородной среде, предотвращающий образование частиц углекислого газа. Чистота водорода на выходе составляет 99,99%. Компания использует мультиклапанную систему,  которая позволяет заправлять водород под высоким давлением, контролировать давление и температуру в баллоне, а также обеспечивать на выходе низкое давление. В заводском производстве потока сверхчистого водородного продукта, содержание оксида углерода в газовой смеси, полученной комбинацией частичного окисления и парового риформинга углеводородного сырья, будет превращаться в водород путем реакции каталитического сдвига с паром, которая дает CO2 в качестве побочного продукта. Данная система может достигать извлечения водорода выше 95% от всего возможного производства H2 в синтез-газе, полученном как из H2, так и из содержания CO, в виде чистого водородного продукта при высоком давлении

Преимуществом компании является наличие большого количества собственных технологических разработок, патентов и научных исследований. Также представители компании находятся в постоянной тесной коммуникации с ведущими научными институтами, что обеспечивает постоянное развитие внутренних НИОКР.";До 100 млн.руб;Раунд А;Нет;"Сайт: 
https://kosmos-sp.ru/#production

Сбис: 
https://sbis.ru/contragents/9718181832/771801001";;;;;;;;;;;;;
